,profile_name,url_profile
0,100009705225142,https://www.facebook.com/profile.php?id=100009705225142&fref=pb&hc_location=friends_tab
1,smax90,https://www.facebook.com/smax90?fref=pb&hc_location=friends_tab
2,aymen.hacheni.3,https://www.facebook.com/aymen.hacheni.3?fref=pb&hc_location=friends_tab
3,medini.ahmed.10,https://www.facebook.com/medini.ahmed.10?fref=pb&hc_location=friends_tab
4,samir.maklouf,https://www.facebook.com/samir.maklouf?fref=pb&hc_location=friends_tab
5,kamel.benissa.3,https://www.facebook.com/kamel.benissa.3?fref=pb&hc_location=friends_tab
6,100040566999724,https://www.facebook.com/profile.php?id=100040566999724&fref=pb&hc_location=friends_tab
7,100040313242565,https://www.facebook.com/profile.php?id=100040313242565&fref=pb&hc_location=friends_tab
8,malik.ayazawan.52,https://www.facebook.com/malik.ayazawan.52?fref=pb&hc_location=friends_tab
9,saleh.yahya.908347,https://www.facebook.com/saleh.yahya.908347?fref=pb&hc_location=friends_tab
10,adrianna.leonard.5454,https://www.facebook.com/adrianna.leonard.5454?fref=pb&hc_location=friends_tab
11,100030979452671,https://www.facebook.com/profile.php?id=100030979452671&fref=pb&hc_location=friends_tab
12,slimen.bossndel.9,https://www.facebook.com/slimen.bossndel.9?fref=pb&hc_location=friends_tab
13,100018953440065,https://www.facebook.com/profile.php?id=100018953440065&fref=pb&hc_location=friends_tab
14,ridha.abdessatar,https://www.facebook.com/ridha.abdessatar?fref=pb&hc_location=friends_tab
15,becem.toora,https://www.facebook.com/becem.toora?fref=pb&hc_location=friends_tab
16,100010973235935,https://www.facebook.com/profile.php?id=100010973235935&fref=pb&hc_location=friends_tab
17,jamel.hachani.7,https://www.facebook.com/jamel.hachani.7?fref=pb&hc_location=friends_tab
18,100009509135035,https://www.facebook.com/profile.php?id=100009509135035&fref=pb&hc_location=friends_tab
19,zaib.chandio.1,https://www.facebook.com/zaib.chandio.1?fref=pb&hc_location=friends_tab
60,amine.shili.391,https://www.facebook.com/amine.shili.391?fref=pb&hc_location=friends_tab
61,walid.akriche.1,https://www.facebook.com/walid.akriche.1?fref=pb&hc_location=friends_tab
62,safouane.jeljeli,https://www.facebook.com/safouane.jeljeli?fref=pb&hc_location=friends_tab
63,walid.bengara.1,https://www.facebook.com/walid.bengara.1?fref=pb&hc_location=friends_tab
